Timestamp,User,System,Global
[2024-02-27 16:31:50],"3,5","0,8",4.3
[2024-02-27 16:31:52],"0,0","0,4",0.4
[2024-02-27 16:31:54],"0,8","0,8",1.5
[2024-02-27 16:31:57],"0,8","0,8",1.5
[2024-02-27 16:31:59],"0,8","1,5",2.3
[2024-02-27 16:32:01],"0,4","1,2",1.5
[2024-02-27 16:32:03],"0,4","0,8",1.2
[2024-02-27 16:32:05],"0,4","0,4",0.8
[2024-02-27 16:32:07],"0,0","0,8",0.8
[2024-02-27 16:32:10],"0,4","0,4",0.8
[2024-02-27 16:32:12],"0,4","1,1",1.5
[2024-02-27 16:32:14],"0,4","0,4",0.8
[2024-02-27 16:32:16],"0,8","0,8",1.5
[2024-02-27 16:32:18],"0,8","0,4",1.2
[2024-02-27 16:32:21],"1,1","0,8",1.9
[2024-02-27 16:32:23],"0,8","0,8",1.5
[2024-02-27 16:32:25],"1,1","0,4",1.5
[2024-02-27 16:32:27],"1,1","0,8",1.9
[2024-02-27 16:32:29],"0,4","0,8",1.2
[2024-02-27 16:32:31],"0,8","0,8",1.5
